"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight","gene_symbol"
"ENSMUSG00000068748",96.2539511796637,2.22990845050053,0.536106151011777,4.15945320957816,3.19010360989547e-05,0.163906082690778,1.16095025387368,"Ptprz1"
"ENSMUSG00000031722",344.448118512096,2.84726947324077,0.704343135011325,4.04244654587993,5.28963738344865e-05,0.163906082690778,1,"Hp"
"ENSMUSG00000090223",9.72038540914424,3.46063346532334,0.86616032995033,3.99537284918347,6.45925170037346e-05,0.163906082690778,1.89754986852252,"Pcp4"
"ENSMUSG00000039419",46.3858506344457,3.47487533683466,0.874376676198017,3.97411714130366,7.06407920563042e-05,0.18641277736356,0.955346847542093,"Cntnap2"
"ENSMUSG00000095701",18.0089857363445,-2.96112405178865,0.778034022052537,-3.80590561319785,0.000141286260181328,0.163906082690778,2.66054825355303,NA
"ENSMUSG00000096838",18.0089857363445,-2.96112405178865,0.778034022052537,-3.80590561319785,0.000141286260181328,0.237861841118,1,NA
"ENSMUSG00000055301",21.8890833007776,1.75266150981509,0.47076556461964,3.72300278851359,0.000196867346772715,0.19780726003727,2.04788932991134,"Adh7"
"ENSMUSG00000106106",2367.01136915926,-2.36244642102791,0.636654545915828,-3.71071947288074,0.000206671028923891,0.255156052309436,1,NA
"ENSMUSG00000009394",172.067943323433,3.34851504026428,0.942012253321123,3.55464064130683,0.000378496021409621,0.372475958078116,1,"Syn2"
"ENSMUSG00000026922",151.223562412245,0.637184006591398,0.179615703549799,3.54748495815533,0.000388927959594281,0.395010275590631,0.809856632836241,"Agpat2"
"ENSMUSG00000010025",728.664486924488,1.04870434389479,0.298308065004749,3.51550784883438,0.000438913785878351,0.61672520124956,0.321455752139802,"Aldh3a2"
"ENSMUSG00000036622",663.974201070271,-0.729750767779255,0.209115440614755,-3.48970293936184,0.000483557746141544,1,0,"Atp13a2"
"ENSMUSG00000025470",122.67980127252,-0.706592355568194,0.205524486590286,-3.43799596481556,0.000586036431467171,0.417415718243867,1,"Zfp511"
"ENSMUSG00000025332",3265.64913162488,-0.389135248541735,0.116076624919378,-3.35239975156077,0.000801142493938321,0.485741113805421,1,NA
"ENSMUSG00000047730",11454.2568983277,2.70774445457926,0.810210184896452,3.34202717400463,0.000831689180992647,1,0,NA
"ENSMUSG00000074582",1184.27775955907,-0.527353005938364,0.158078748999846,-3.33601454512318,0.000849887170739086,1,0,"Arfgef2"
"ENSMUSG00000050272",162.854535699621,3.50649183342112,1.0572821260254,3.31651481388694,0.000911477550733011,0.460962516895452,1.35623245189201,"Dscam"
"ENSMUSG00000031870",1250.80863568973,2.52096933308026,0.760353846209057,3.31552124796792,0.000914723869534417,1,0,"Pgr"
"ENSMUSG00000095676",49.0258713552268,-2.02340599953398,0.615787418780956,-3.2858839557645,0.00101662883027829,0.417415718243867,1.76367587973401,NA
"ENSMUSG00000078117",236.171202222678,2.88073246384968,0.879992418810432,3.27358781993127,0.00106191386851346,0.395010275590631,2.1743554841064,NA
"ENSMUSG00000028654",137.18680232346,1.88674152710628,0.576771169006648,3.27121331386198,0.00107087102586773,0.485741113805421,1.35623245189201,"Mycl"
"ENSMUSG00000100444",179.418207464625,1.97168107794393,0.603847653342043,3.26519622462968,0.00109388268370823,0.395010275590631,2.1743554841064,NA
"ENSMUSG00000048022",61.0419314798823,1.53341869894906,0.470737052125677,3.25748460212489,0.00112404356505016,0.56982359472499,1,"Tmem229a"
"ENSMUSG00000044103",9.86825271785355,-4.60488994276158,1.4165831624952,-3.25070215761314,0.00115120391067105,0.56982359472499,1,"Il36g"
"ENSMUSG00000030017",9.05294165985768,2.96234738405533,0.912260952720349,3.24725877526782,0.00116522392410586,0.651352932168797,0.59046933967929,NA
"ENSMUSG00000026818",253.268664348001,2.1081067392738,0.657799321714321,3.20478703714647,0.00135162446111578,0.485741113805421,1.72258753566005,"Cel"
"ENSMUSG00000013483",82.6217074748869,-1.75730233038986,0.559036344963371,-3.14344916251376,0.00166969415752689,0.651352932168797,0.955346847542093,"Card14"
"ENSMUSG00000093755",7.20704106012655,5.55565898501558,1.77342361522118,3.13273091512468,0.00173188136949044,1,0,"Vmn1r39"
"ENSMUSG00000072675",4.33153732976386,-4.1450929796855,1.32539561034523,-3.12743828886368,0.00176336834444582,1,0,NA
"ENSMUSG00000017697",203.036366044296,-1.04292012748129,0.334449329732651,-3.11832027983123,0.00181885032010532,0.56982359472499,1.72258753566005,"Ada"
"ENSMUSG00000036523",49.3229812854321,2.47759282007278,0.796545267905676,3.11042312332984,0.00186819518679668,0.651352932168797,1,"Greb1"
"ENSMUSG00000037419",408.169205715866,0.470484435040498,0.15236031106324,3.08797239751771,0.00201527188362541,1,0,"Endod1"
"ENSMUSG00000034032",460.107053878692,-0.537626235415323,0.174204453855983,-3.08617962121556,0.00202746304668539,0.796983714395382,0.321455752139802,"Rpap1"
"ENSMUSG00000063320",32.7576579837676,-1.14795849919772,0.372550742033676,-3.08134804115878,0.00206065628095794,0.651352932168797,1,"Uqcc6"
"ENSMUSG00000030816",1291.84135555552,-0.345217981393346,0.112486574001697,-3.06897053676947,0.00214797774030606,0.814108930273472,0.321455752139802,"Rnf40"
"ENSMUSG00000078949",140.67560012956,1.809334601225,0.589700387481273,3.06822691596494,0.00215333038622596,0.555755427353711,2.1743554841064,"R3hdml"
"ENSMUSG00000078765",119.993680529079,-0.614109064100104,0.200224367006414,-3.06710453518593,0.00216143254053687,0.686465281412761,0.809856632836241,"U2af1l4"
"ENSMUSG00000029838",5537.71620295473,1.33257437481358,0.435555651408457,3.05948130968898,0.00221720621844396,1,0,"Ptn"
"ENSMUSG00000097799",5.81189210306837,-2.95345686118949,0.969945695587045,-3.04497135729022,0.00232702470358747,0.656835994640767,1,NA
"ENSMUSG00000097695",15.9967366056141,-1.45867578553339,0.479611821436781,-3.04136745663109,0.00235506226674501,0.656835994640767,1,NA
"ENSMUSG00000064437",8.84085358090322,-2.9471321202132,0.971495515437333,-3.03360342212851,0.00241651865566579,1,0,"Snord49b"
"ENSMUSG00000026393",2388.36564426463,0.961012476277657,0.316867979638333,3.03284818293896,0.00242257444036654,1,0,"Nek7"
"ENSMUSG00000041482",1229.63946557855,2.16885869756203,0.719284497559288,3.01530021142052,0.0025672501007663,1,0,"Piezo2"
"ENSMUSG00000095079",146.680041870889,2.67398239166163,0.893523610320846,2.99262645192046,0.00276588058383121,0.651352932168797,1.35623245189201,"Igha"
"ENSMUSG00000051076",217.044559399029,1.88559906672589,0.630966042695689,2.98843192681179,0.00280412958560705,0.692808174121154,1,"Vtcn1"
"ENSMUSG00000026303",718.724753372099,1.41695574772487,0.475549641641634,2.97961689726741,0.0028860908573424,1,0,"Mlph"
